,source,target,Semester and Year
85,22,,Fall 2022
86,32,,Spring 2019
87,50,,Spring 2022
88,14,,Spring 2022
89,38,,Spring 2019
90,1,,Spring 2022
90,1,,Spring 2022
91,80,,Fall 2019
92,20,,Fall 2020
93,99,,Spring 2019
94,43,,Fall 2022
94,43,,Fall 2022
95,79,,Fall 2020
96,39,,Fall 2019
96,39,,Fall 2019
97,7,,Spring 2022
98,30,,Spring 2019
99,4,,Fall 2021
0,82,34,Fall 2019
1,6,,Fall 2019
2,95,91,Spring 2020
3,98,,Fall 2022
4,46,4,Fall 2021
4,46,102,Fall 2021
5,65,34,Spring 2022
6,91,4,Fall 2022
6,91,102,Fall 2022
7,58,,Fall 2020
8,52,,Fall 2020
9,25,,Spring 2021
10,37,,Fall 2021
11,12,,Spring 2019
12,76,4,Spring 2022
12,76,102,Spring 2022
13,73,91,Spring 2021
14,15,,Spring 2021
15,84,34,Spring 2022
16,13,4,Fall 2020
16,13,102,Fall 2020
17,44,91,Spring 2022
18,34,34,Spring 2021
19,71,4,Spring 2019
19,71,102,Spring 2019
20,72,4,Fall 2019
20,72,102,Fall 2019
21,40,4,Fall 2019
21,40,102,Fall 2019
22,70,91,Fall 2022
23,97,,Spring 2020
24,11,,Spring 2022
25,27,34,Spring 2022
26,77,,Spring 2020
27,5,,Fall 2022
28,81,,Spring 2021
29,29,4,Fall 2021
29,29,102,Fall 2021
30,51,4,Spring 2021
30,51,102,Spring 2021
31,31,4,Spring 2020
31,31,102,Spring 2020
32,10,4,Fall 2020
32,10,102,Fall 2020
33,90,,Spring 2020
34,49,,Spring 2019
35,23,,Spring 2021
36,67,,Spring 2022
37,57,34,Fall 2020
38,93,4,Spring 2021
38,93,102,Spring 2021
39,66,91,Fall 2020
40,86,34,Spring 2021
41,0,34,Spring 2020
42,96,34,Spring 2020
43,35,,Fall 2021
44,68,,Fall 2020
45,75,,Fall 2022
46,16,34,Spring 2020
47,61,,Spring 2019
48,55,91,Fall 2021
49,83,4,Spring 2022
49,83,102,Spring 2022
50,69,91,Spring 2022
51,19,34,Fall 2019
52,62,,Fall 2020
53,64,4,Spring 2020
53,64,102,Spring 2020
54,24,,Spring 2020
55,87,34,Fall 2020
56,3,,Spring 2021
57,94,91,Fall 2019
58,56,,Fall 2019
59,63,34,Fall 2022
60,92,34,Fall 2021
61,45,4,Spring 2019
61,45,102,Spring 2019
62,36,,Spring 2021
63,78,4,Spring 2021
63,78,102,Spring 2021
64,17,,Fall 2022
65,88,,Spring 2022
66,59,34,Fall 2019
67,47,91,Fall 2020
68,41,4,Spring 2019
68,41,102,Spring 2019
69,74,,Spring 2019
70,89,34,Spring 2020
71,18,91,Spring 2022
72,2,,Spring 2022
73,85,,Fall 2022
74,53,4,Fall 2019
74,53,102,Fall 2019
75,8,,Spring 2019
76,26,4,Fall 2019
76,26,102,Fall 2019
77,21,4,Fall 2021
77,21,102,Fall 2021
78,48,4,Fall 2020
78,48,102,Fall 2020
79,54,,Spring 2019
80,42,4,Spring 2021
80,42,102,Spring 2021
81,60,91,Spring 2022
82,33,34,Spring 2022
83,9,4,Fall 2020
83,9,102,Fall 2020
84,28,91,Spring 2021
85,22,,Fall 2022
86,32,,Spring 2019
87,50,,Spring 2022
88,14,91,Spring 2022
89,38,34,Spring 2019
90,1,4,Spring 2022
90,1,102,Spring 2022
91,80,,Fall 2019
92,20,34,Fall 2020
93,99,34,Spring 2019
94,43,4,Fall 2022
94,43,102,Fall 2022
95,79,,Fall 2020
96,39,4,Fall 2019
96,39,102,Fall 2019
97,7,,Spring 2022
98,30,34,Spring 2019
99,4,,Fall 2021
