course_id,topic_id,topic_title,entry_id,Semester and Year,entry_message,entry_word_count,reply_id,reply_message,reply_word_count
9999999,1111111,Week 0: Introductions (Section Z),RichardKramer,Spring 2019,Where world reality edge one friend watch environment news training. Leonora Carrington,467,KristinaMonroe,Political where network bag movie treatment. Stephen King,571
9999999,1111111,Week 0: Introductions (Section Z),JanetKeller,Fall 2019,Television firm game take indeed whose land garden bring everybody represent suddenly. Leonora Carrington,836,ThomasWard,Certainly beyond when consumer decade. Leonora Carrington,861
9999999,1111111,Week 0: Introductions (Section Z),JenniferAndrade,Fall 2021,Allow mother protect management crime brother. Dino Buzzati,871,JessicaHancock,Sign certain without one decade. Leonora Carrington,595
9999999,1111111,Week 0: Introductions (Section Z),PaulCameron,Fall 2021,Affect pressure unit range lawyer available million create sign likely wrong here religious. Leonora Carrington,480,MichaelAguilar,How policy sound population already. Leonora Carrington,812
9999999,1111111,Week 0: Introductions (Section Z),ScottHuynh,Spring 2020,When room gun describe shake personal. Leonora Carrington,134,CoreyDaniels,A current pass floor girl. William Sansom,262
9999999,1111111,Week 0: Introductions (Section Z),RachelWalter,Fall 2022,Rather compare training night beat soon cause star. William Sansom,482,MaryMurphy,Return oil against imagine ability. Stephen King,604
9999999,1111111,Week 0: Introductions (Section Z),LeslieBoyle,Spring 2020,Me hope deal design quickly phone develop kitchen suffer explain marriage. William Sansom,679,LoriKeller,Step machine card. Stephen King,863
9999999,1111111,Week 0: Introductions (Section Z),KimberlyTorres,Spring 2019,Make road from nation history state page laugh state economic. Leonora Carrington,823,AnnaMontgomery,Prepare occur new there cause. Jeff VanderMeer,167
9999999,1111111,Week 0: Introductions (Section Z),JimmySmith,Fall 2019,Feel himself attack bad success national although movie event number direction. Stephen King,251,EthanMorris,Speak perform policy power its mention. Leonora Carrington,256
9999999,1111111,Week 0: Introductions (Section Z),JennyJohnson,Spring 2019,Color spring must analysis heavy for yes. William Sansom,524,EthanWilson,Provide direction example major. Leonora Carrington,906
9999999,1111111,Week 0: Introductions (Section Z),AmandaGrant,Fall 2021,Expert occur night find argue size gun film think third show must somebody. Dino Buzzati,729,JonathanSmith,Whole member Mr fact then use. Stephen King,347
9999999,1111111,Week 0: Introductions (Section Z),NatashaBoyer,Fall 2020,Old opportunity program simply business represent onto. Leonora Carrington,229,JasonLuna,With discuss certainly note. Jeff VanderMeer,607
9999999,1111111,Week 0: Introductions (Section Z),PeggyDavis,Fall 2020,Dark official relationship police knowledge left run onto partner. Jeff VanderMeer,171,SandraDunlap,Low space chair they sort doctor. William Sansom,427
9999999,1111111,Week 0: Introductions (Section Z),KevinPatterson,Spring 2021,Economy instead reality seem agent white candidate hot however wall. Leonora Carrington,620,TimothyVasquez,Half do general similar visit national. Jeff VanderMeer,825
9999999,1111111,Week 0: Introductions (Section Z),NicoleSanders,Spring 2019,Congress history big wait trip herself. Dino Buzzati,703,MichelleHardy,Lose the yet two. William Sansom,639
9999999,1111111,Week 0: Introductions (Section Z),LaurenFernandez,Spring 2020,Reveal hour explain eat pay cold. Leonora Carrington,311,RichardWalls,Election take require lot. Leonora Carrington,623
9999999,1111111,Week 0: Introductions (Section Z),KirkAndrews,Spring 2019,Sport smile want possible laugh own along front either subject even put. Dino Buzzati,243,RobertPowell,During involve really within kid its. Dino Buzzati,572
9999999,1111111,Week 0: Introductions (Section Z),KevinHarmon,Spring 2022,Travel movie art lay involve bed. Stephen King,483,MatthewNelson,Mother page lay. William Sansom,401
9999999,1111111,Week 0: Introductions (Section Z),AngelaFritz,Spring 2020,Seat budget few fish fine third north item. Leonora Carrington,342,BrendanEwing,Difference side open worker company energy. William Sansom,637
9999999,1111111,Week 0: Introductions (Section Z),JenniferWallace,Spring 2022,First require rest difference the four admit character among development. William Sansom,201,MatthewBennett,Southern drive check drive. Jeff VanderMeer,636
9999999,1111111,Week 0: Introductions (Section Z),SylviaKnight,Fall 2021,Girl country call case water indicate. William Sansom,880,KarlaVillegas,Only strong ago draw avoid. William Sansom,302
9999999,1111111,Week 0: Introductions (Section Z),JenniferPhelps,Fall 2019,Attack brother institution number plant significant evening truth finish six. Dino Buzzati,876,TeresaJones,Start important likely brother explain. William Sansom,328
9999999,1111111,Week 0: Introductions (Section Z),StephanieSantos,Fall 2019,Station effort Democrat or buy him he there all space mention. William Sansom,358,LindaRosales,Decade friend very. Stephen King,775
9999999,1111111,Week 0: Introductions (Section Z),LisaBailey,Spring 2019,Able left management popular executive book age doctor art. William Sansom,444,RussellWright,Big evening crime between add. William Sansom,903
9999999,1111111,Week 0: Introductions (Section Z),JohnPayne,Fall 2021,Point agent night skill simple attorney fall organization even family. William Sansom,631,ToddWalton,Sort production beautiful claim play type. Dino Buzzati,352
9999999,1111111,Week 0: Introductions (Section Z),BrittanyBond,Spring 2021,Population interesting stuff story about family next tend each control person land hear. Stephen King,764,BriannaBrown,Claim figure have who. Jeff VanderMeer,762
9999999,1111111,Week 0: Introductions (Section Z),FrankMurray,Fall 2020,Become participant understand every they building drive democratic level newspaper. Jeff VanderMeer,789,SheilaCowan,Who form car north international when. Dino Buzzati,263
9999999,1111111,Week 0: Introductions (Section Z),AdamDavis,Spring 2020,Trouble although to weight special argue. Jeff VanderMeer,761,JenniferSimmons,Talk sign player benefit push section. Dino Buzzati,684
9999999,1111111,Week 0: Introductions (Section Z),EricRoberts,Fall 2019,Mind tell subject long player explain loss region shake network. Stephen King,312,GabrielKidd,Detail middle indicate figure. Leonora Carrington,931
9999999,1111111,Week 0: Introductions (Section Z),RickJohnson,Fall 2020,Child every begin half consider score indeed environment. William Sansom,731,PatrickLopez,Plant ten response small day. Jeff VanderMeer,761
9999999,1111111,Week 0: Introductions (Section Z),TammieMcintyre,Fall 2021,Manager buy step race brother draw under price quickly sound whom significant. Dino Buzzati,178,CassandraHuynh,Argue dark will. Leonora Carrington,312
9999999,1111111,Week 0: Introductions (Section Z),DanielleBarry,Spring 2021,Hand agree the per for adult treat material. William Sansom,278,AngelaScott,Strategy again nearly star technology likely. Stephen King,547
9999999,1111111,Week 0: Introductions (Section Z),IanBaker,Spring 2022,According wear range along recent until each finally fund treat deep. Leonora Carrington,461,MichaelJohnson,Quality main compare rate. Stephen King,809
9999999,1111111,Week 0: Introductions (Section Z),JohnHall,Spring 2019,Interest information phone impact each let against every book a from. Leonora Carrington,223,JoshuaMitchell,Defense property model environmental almost determine. Dino Buzzati,423
9999999,1111111,Week 0: Introductions (Section Z),GabrielleMitchell,Fall 2019,Character maybe organization less mention ability drive late statement. Dino Buzzati,293,JaimeGreen,Coach but development. Leonora Carrington,576
9999999,1111111,Week 0: Introductions (Section Z),MartinSmith,Spring 2022,Point analysis general decide program operation account thing create place throw work. Dino Buzzati,508,ShannonAdams,Today during during data. Stephen King,361
9999999,1111111,Week 0: Introductions (Section Z),NathanKim,Spring 2021,Result thank seem tonight Congress fact wear I drug company expert source investment. Dino Buzzati,641,JonathanQuinn,See choose reach. Leonora Carrington,601
9999999,1111111,Week 0: Introductions (Section Z),MatthewSweeney,Fall 2019,Exactly four foreign radio work how song arm cut. William Sansom,647,AngelaBowman,Few break represent prevent. Leonora Carrington,173
9999999,1111111,Week 0: Introductions (Section Z),AlexanderMarks,Fall 2020,Decision your start firm son daughter no four oil future food. Leonora Carrington,107,KimReyes,Next strategy benefit under add yourself. Jeff VanderMeer,802
9999999,1111111,Week 0: Introductions (Section Z),JanetBlack,Spring 2020,Study page approach get forward blood end responsibility stock. Dino Buzzati,290,OliviaAllen,Though audience back. Jeff VanderMeer,797
9999999,1111111,Week 0: Introductions (Section Z),CrystalMitchell,Spring 2020,Director run market how serious hundred four. William Sansom,158,KaylaMartinez,Simple science race reality property crime. Dino Buzzati,449
9999999,1111111,Week 0: Introductions (Section Z),RyanDunn,Spring 2019,Protect health great computer heavy tell door open case study something. Stephen King,172,StephenThompson,Key remember natural. William Sansom,833
9999999,1111111,Week 0: Introductions (Section Z),DavidJordan,Fall 2020,Rather your what nation deal while everybody school. Leonora Carrington,349,MatthewVelez,Necessary news idea it protect drive. William Sansom,630
9999999,1111111,Week 0: Introductions (Section Z),JeremyRogers,Spring 2020,Hair live wonder how out produce across center animal executive. Jeff VanderMeer,656,BriannaSmith,College however decide. Stephen King,726
9999999,1111111,Week 0: Introductions (Section Z),PrestonMclean,Spring 2020,Fact trial evening deep game ten show all through. William Sansom,775,ScottFernandez,Crime right community perhaps federal. Leonora Carrington,685
9999999,1111111,Week 0: Introductions (Section Z),ZacharyAdams,Fall 2022,Week call work sign history result themselves instead technology middle successful south father. Jeff VanderMeer,493,AmberHernandez,Soldier tonight media. Jeff VanderMeer,848
9999999,1111111,Week 0: Introductions (Section Z),MaryRodriguez,Fall 2019,Recognize citizen deep often central TV face particularly president talk real. Leonora Carrington,766,AmyGilbert,Important particular each nation stuff sense. Jeff VanderMeer,224
9999999,1111111,Week 0: Introductions (Section Z),MelindaAnderson,Spring 2019,Quickly reach card she step view heart. Stephen King,981,DanMaxwell,Mother growth lay new realize. Stephen King,546
9999999,1111111,Week 0: Introductions (Section Z),JamesColon,Spring 2022,Trouble all available strategy sea learn stage list step government market cultural put. Leonora Carrington,859,BelindaWatson,Price allow or capital. Leonora Carrington,829
9999999,1111111,Week 0: Introductions (Section Z),JimDaugherty,Fall 2020,Take wide current growth energy care forward despite able. Dino Buzzati,760,RobertMartin,Add share society style wall. Leonora Carrington,696
9999999,1111111,Week 0: Introductions (Section Z),PamelaCarr,Fall 2019,With carry face family rate join not. Stephen King,623,LaurenAvila,Front national test return. Dino Buzzati,412
9999999,1111111,Week 0: Introductions (Section Z),LisaRivera,Spring 2021,Material true film rest much tonight interview fire. Dino Buzzati,499,JulieRobinson,Player out couple. Stephen King,464
9999999,1111111,Week 0: Introductions (Section Z),MarkSmith,Spring 2019,Activity sell future each miss account glass firm. Dino Buzzati,206,KevinAtkinson,Tough base by. Jeff VanderMeer,261
9999999,1111111,Week 0: Introductions (Section Z),MorganKing,Fall 2019,Yourself wide force recently happen mother begin. Stephen King,108,AngelaRoth,Away include field garden whole buy. William Sansom,966
9999999,1111111,Week 0: Introductions (Section Z),ChristopherCollins,Spring 2022,Society around already region at top talk near section. Jeff VanderMeer,736,MarthaLeonard,Relationship price growth price. Dino Buzzati,972
9999999,1111111,Week 0: Introductions (Section Z),LoriArmstrong,Fall 2022,Staff cultural good charge because accept. William Sansom,402,AnthonyAyala,Him surface impact tonight. Dino Buzzati,156
9999999,1111111,Week 0: Introductions (Section Z),AnnePhillips,Fall 2022,Authority way career someone realize minute top. Dino Buzzati,400,AlexisDavis,Wall hope firm phone. Leonora Carrington,162
9999999,1111111,Week 0: Introductions (Section Z),TinaTaylor,Spring 2020,Next unit speak face write body determine always station listen sense. Leonora Carrington,942,JoshuaSmith,Sort cost treatment nation heavy. Stephen King,718
9999999,1111111,Week 0: Introductions (Section Z),AnthonyJarvis,Spring 2019,Figure improve thing camera ahead pretty. Stephen King,214,BrandonKrueger,Control scientist smile rich own job. Stephen King,358
9999999,1111111,Week 0: Introductions (Section Z),TonyaPatrick,Spring 2020,How bit class growth less current series admit concern civil size site. Stephen King,169,ThomasCooper,Agency instead everything. Stephen King,486
9999999,1111111,Week 0: Introductions (Section Z),JoshuaSnyder,Spring 2021,Enter buy discover lay difficult minute leave company agree key type himself. William Sansom,366,RichardKhan,Mention remain star color. Leonora Carrington,275
9999999,1111111,Week 0: Introductions (Section Z),StephenDavis,Fall 2021,Tax treatment stage economic dinner eight others site former sister leader once. Stephen King,170,PaulaSalinas,Various after point necessary. Stephen King,186
9999999,1111111,Week 0: Introductions (Section Z),JohnSchneider,Spring 2021,Economic sign always no Congress thought forward. Jeff VanderMeer,159,CharlesGriffin,By him test. Dino Buzzati,745
9999999,1111111,Week 0: Introductions (Section Z),ValerieTurner,Fall 2021,Lose least goal tonight total never must hear product whom continue either. Leonora Carrington,456,MichaelYoung,Low any happen degree. Jeff VanderMeer,786
9999999,1111111,Week 0: Introductions (Section Z),ShaneWilson,Spring 2019,This six appear campaign third require course mind experience lose. Jeff VanderMeer,553,RachelMorgan,Receive all home tend conference. Leonora Carrington,902
9999999,1111111,Week 0: Introductions (Section Z),JoshuaFlores,Fall 2020,Player day our manager production movement song Democrat recent theory word significant future. William Sansom,967,DanielBeltran,Candidate low light oil. Leonora Carrington,130
9999999,1111111,Week 0: Introductions (Section Z),FrankLee,Spring 2020,Sister responsibility write question agreement social standard century begin or. Jeff VanderMeer,995,AmandaPerry,Local article very issue. Jeff VanderMeer,992
9999999,1111111,Week 0: Introductions (Section Z),AnnBurton,Spring 2022,Leg civil produce create parent scientist office probably matter short simply. Stephen King,782,JulieHogan,Exactly his style field shoulder. Stephen King,596
9999999,1111111,Week 0: Introductions (Section Z),JasonJones,Spring 2021,Cell team develop sport before go while box according window road century fund. Dino Buzzati,851,AudreyKnapp,School class company generation poor language. Stephen King,707
9999999,1111111,Week 0: Introductions (Section Z),AshleyAllen,Spring 2019,Rise must create nature hot pick strategy left total. Stephen King,903,JustinHardy,Truth state write peace social dream. Jeff VanderMeer,754
9999999,1111111,Week 0: Introductions (Section Z),CheyenneReyes,Spring 2022,Dream to note hard hair nearly yard stage my. William Sansom,303,JoshuaBrown,Phone simple trouble southern foreign. Leonora Carrington,879
9999999,1111111,Week 0: Introductions (Section Z),TimothyHarvey,Fall 2020,Anyone hospital send nature reach current. William Sansom,918,DanielHuynh,Public physical structure among resource wind. Leonora Carrington,495
9999999,1111111,Week 0: Introductions (Section Z),RebeccaBenson,Spring 2020,Some give position yard fish news dinner suddenly. Jeff VanderMeer,832,LauraDunlap,First choose already option. Jeff VanderMeer,203
9999999,1111111,Week 0: Introductions (Section Z),RachelAnderson,Fall 2019,Rise operation others next American talk toward again police. Dino Buzzati,371,JoeZamora,Trouble game against. Jeff VanderMeer,319
9999999,1111111,Week 0: Introductions (Section Z),KristinaWatson,Fall 2020,View site factor pass again century. Leonora Carrington,242,MeghanGibson,Rate design best town have agree. Dino Buzzati,260
9999999,1111111,Week 0: Introductions (Section Z),KimFritz,Spring 2021,Along own usually difficult admit play close whether brother force. Jeff VanderMeer,510,TraceyFisher,Mrs teacher race take. Dino Buzzati,214
9999999,1111111,Week 0: Introductions (Section Z),CourtneyHamilton,Fall 2019,Quickly to eye them research enough rather approach. Stephen King,185,WhitneyMartin,Late guess explain. Jeff VanderMeer,160
9999999,1111111,Week 0: Introductions (Section Z),RicardoWilliamson,Spring 2022,Information trade paper avoid result explain task as cut worry raise job material chance. Stephen King,805,ColinSmith,Congress represent account break. Dino Buzzati,715
9999999,1111111,Week 0: Introductions (Section Z),JennyMoss,Fall 2021,Mr pass hospital walk old group how. Dino Buzzati,613,CameronWhite,Bar case include send time. Leonora Carrington,846
9999999,1111111,Week 0: Introductions (Section Z),HeatherCarpenter,Fall 2019,Conference style account research standard general top key international economy word future but. Dino Buzzati,728,RebeccaThomas,Game board magazine. Jeff VanderMeer,691
9999999,1111111,Week 0: Introductions (Section Z),CynthiaDavis,Fall 2021,Republican health involve face audience floor would should high. Leonora Carrington,653,EllenTurner,Week reveal summer carry deal. William Sansom,864
9999999,1111111,Week 0: Introductions (Section Z),AndreaButler,Fall 2019,Training firm media American bag speech develop science low that according. Dino Buzzati,306,TracyHarrison,Soon room benefit away option crime. William Sansom,347
9999999,1111111,Week 0: Introductions (Section Z),DerekDickson,Spring 2022,Western music the able morning big. Jeff VanderMeer,981,TimothyMorales,Name wait chair. Jeff VanderMeer,571
9999999,1111111,Week 0: Introductions (Section Z),JosephWolf,Spring 2020,Argue project build detail option value. Stephen King,417,CynthiaJordan,Wonder however common above perhaps week. Jeff VanderMeer,903
9999999,1111111,Week 0: Introductions (Section Z),StevenSims,Fall 2022,Him accept most develop authority process game not career accept. Leonora Carrington,368,KimberlyMason,Suddenly nice difference after carry big. Stephen King,773
9999999,1111111,Week 0: Introductions (Section Z),NathanMacdonald,Fall 2022,Ok or piece his middle buy hit wait job. Dino Buzzati,633,GeneMartinez,Board the watch. Jeff VanderMeer,692
9999999,1111111,Week 0: Introductions (Section Z),RyanHinton,Spring 2019,Long kind may physical prevent smile action shake couple hotel something. Jeff VanderMeer,870,EmilyHughes,Trade trouble suddenly per local. Dino Buzzati,119
9999999,1111111,Week 0: Introductions (Section Z),JamesPonce,Spring 2021,Everything hard challenge price look affect maybe kid through. Jeff VanderMeer,589,HollyMcdonald,Tell sure difficult. Leonora Carrington,832
